,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
2018-01-01,21 - 22,26.45,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47
2018-01-01,22 - 23,26.07,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09,26.09
2018-01-01,23 - 00,25.02,24.88,24.88,24.88,24.88,24.88,24.88,24.88,25.02,25.02,25.02,25.77,25.77,25.77,24.88,24.88,24.88
2018-01-02,00 - 01,25.74,25.28,25.28,25.28,25.28,25.28,18.12,18.12,25.9,25.9,25.9,25.9,25.9,25.9,25.28,25.28,25.28
2018-01-02,01 - 02,25.13,23.16,23.16,23.16,23.16,23.16,14.99,14.99,25.52,25.52,25.52,25.52,25.52,25.52,23.16,23.16,23.16
2018-01-02,02 - 03,25.4,24.78,24.78,24.78,24.78,24.78,17.79,17.79,25.86,25.86,25.86,25.58,25.58,25.58,24.78,24.78,24.78
2018-01-02,03 - 04,25.49,25.03,25.03,25.03,25.03,25.03,24.51,24.51,25.58,25.58,25.58,25.53,25.53,25.53,25.03,25.03,25.03
2018-01-02,04 - 05,25.66,25.73,25.73,25.73,25.73,25.73,11.83,17.82,25.73,25.73,25.73,25.73,25.73,25.73,25.73,25.73,25.73
2018-01-02,05 - 06,26.75,26.84,26.84,26.84,26.84,26.84,14.55,26.84,26.84,26.84,26.84,26.84,26.84,26.84,26.84,26.84,26.84
2018-01-02,06 - 07,27.69,27.8,27.8,27.8,27.8,27.8,22.58,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
2018-01-02,07 - 08,30.73,30.5,30.5,30.5,30.5,30.5,41.92,41.92,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5
2018-01-02,08 - 09,33.77,31.93,31.93,31.93,31.93,31.93,47.95,47.95,31.93,31.93,31.93,31.93,31.93,31.93,31.93,31.93,31.93
2018-01-02,09 - 10,34.04,33.53,33.53,33.53,33.53,33.53,38.02,38.02,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53
2018-01-02,10 - 11,35.07,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04,35.04
2018-01-02,11 - 12,35.24,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22
2018-01-02,12 - 13,34.57,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56,34.56
2018-01-02,13 - 14,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1
2018-01-02,14 - 15,36.02,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98
2018-01-02,15 - 16,38.06,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05,38.05
2018-01-02,16 - 17,41.68,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67
2018-01-02,17 - 18,42.4,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39,42.39
2018-01-02,18 - 19,39.05,37.79,37.79,37.79,37.79,37.79,45.06,45.06,37.79,37.79,37.79,37.79,37.79,37.79,37.79,37.79,37.79
2018-01-02,19 - 20,35.02,33.7,33.7,33.7,34.08,33.7,41.08,41.08,33.7,33.7,33.7,33.7,33.7,33.7,33.7,34.08,34.08
2018-01-02,20 - 21,30.88,30.88,30.88,30.88,30.88,30.88,34.94,31.55,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88
2018-01-02,21 - 22,28.81,28.85,28.85,28.85,28.85,28.85,25.46,28.85,28.85,28.85,28.85,28.85,28.85,28.85,28.85,28.85,28.85
2018-01-02,22 - 23,27.95,27.99,27.99,27.99,27.99,27.99,21.3,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99
2018-01-02,23 - 00,27.55,27.6,27.6,27.6,27.6,27.6,18.97,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
2018-01-03,00 - 01,27.05,27.12,27.12,27.12,27.12,27.12,18.11,18.11,27.12,26.86,27.12,27.12,27.12,27.12,27.12,27.12,27.12
2018-01-03,01 - 02,26.52,26.61,26.61,26.61,26.61,26.61,1.38,1.38,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61
2018-01-03,02 - 03,25.96,26.26,26.26,26.26,26.26,26.26,0.02,0.02,26.26,26.12,26.26,26.26,26.26,26.26,26.26,26.26,26.26
2018-01-03,03 - 04,25.52,26.23,26.23,26.23,26.23,26.23,-5.99,-5.99,26.23,26.09,26.23,26.23,26.23,26.23,26.23,26.23,26.23
2018-01-03,04 - 05,25.8,26.42,26.42,26.42,26.42,26.42,-9.21,-9.21,26.42,26.15,26.42,26.42,26.42,26.42,26.42,26.42,26.42
2018-01-03,05 - 06,26.68,27.47,27.47,27.47,27.47,27.47,-4.64,-4.64,27.47,26.53,27.47,27.47,27.47,27.47,27.47,27.47,27.47
2018-01-03,06 - 07,27.65,28.31,28.31,28.31,28.31,28.31,9.9,18.51,28.31,26.57,28.31,28.31,28.31,28.31,28.31,28.31,28.31
2018-01-03,07 - 08,28.52,28.95,28.95,28.95,28.95,28.95,26.97,28.95,28.95,26.97,28.95,28.95,28.95,28.95,28.95,28.95,28.95
2018-01-03,08 - 09,28.83,29.2,29.2,29.2,29.2,29.2,27.57,29.2,29.2,27.57,29.2,29.2,29.2,29.2,29.2,29.2,29.2
2018-01-03,09 - 10,28.89,29.28,29.28,29.28,29.28,29.28,27.72,29.28,29.28,27.72,29.28,29.28,29.28,29.28,29.28,29.28,29.28
2018-01-03,10 - 11,29.09,29.42,29.42,29.42,29.42,29.42,27.99,29.42,29.42,27.99,29.42,29.42,29.42,29.42,29.42,29.42,29.42
2018-01-03,11 - 12,29.14,29.25,29.25,29.25,29.25,29.25,28.52,29.25,29.25,28.52,29.25,29.25,29.25,29.25,29.25,29.25,29.25
2018-01-03,12 - 13,29.22,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23,29.23
2018-01-03,13 - 14,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49,29.49
2018-01-03,14 - 15,29.85,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86,29.86
2018-01-03,15 - 16,30.5,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51
2018-01-03,16 - 17,31.11,31.33,31.33,31.33,31.33,31.33,30.95,31.33,30.95,30.95,30.95,31.33,31.33,31.33,31.33,31.33,31.33
2018-01-03,17 - 18,31.43,31.59,31.59,31.59,31.59,31.59,31.28,31.59,31.28,31.28,31.28,31.59,31.59,31.59,31.59,31.59,31.59
2018-01-03,18 - 19,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78
2018-01-03,19 - 20,30.14,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15
2018-01-03,20 - 21,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37,29.37
2018-01-03,21 - 22,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93,28.93
2018-01-03,22 - 23,28.12,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13
2018-01-03,23 - 00,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31,27.31
2018-01-04,00 - 01,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.05
2018-01-04,01 - 02,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78,26.78
2018-01-04,02 - 03,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47,26.47
2018-01-04,03 - 04,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49
2018-01-04,04 - 05,26.59,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
2018-01-04,05 - 06,26.97,27.01,27.01,27.01,27.01,27.01,17.31,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01
2018-01-04,06 - 07,28.02,28.04,28.04,28.04,28.04,28.04,19.96,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04
2018-01-04,07 - 08,30.59,30.43,30.43,30.43,30.43,30.43,33.59,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43
2018-01-04,08 - 09,33.44,32.83,32.83,32.83,36.3,32.83,40.45,40.45,32.83,32.83,32.83,32.83,32.83,32.83,32.83,36.3,36.3
2018-01-04,09 - 10,35.49,34.97,34.97,34.97,34.97,34.97,41.97,41.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
2018-01-04,10 - 11,37.56,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55
2018-01-04,11 - 12,36.07,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02,36.02
2018-01-04,12 - 13,35.63,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53,35.53
2018-01-04,13 - 14,35.43,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
2018-01-04,14 - 15,35.93,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83,35.83
2018-01-04,15 - 16,38.03,37.83,37.83,37.83,37.83,37.83,42.04,42.04,37.83,37.83,37.83,37.83,37.83,37.83,37.83,37.83,37.83
2018-01-04,16 - 17,39.71,39.03,39.03,39.03,39.03,39.03,42.53,42.53,39.03,39.03,39.03,39.03,39.03,39.03,39.03,39.03,39.03
2018-01-04,17 - 18,39.03,37.71,37.71,37.91,37.91,37.91,51.43,51.43,37.91,37.91,37.91,37.71,37.71,37.71,37.91,37.91,37.91
2018-01-04,18 - 19,37.23,35.03,35.03,35.03,35.03,35.03,49.96,49.96,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03
2018-01-04,19 - 20,32.9,31.87,31.87,31.87,31.87,31.87,46.73,46.73,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87,31.87
2018-01-04,20 - 21,30.98,30.78,30.78,30.78,30.78,30.78,41.57,41.57,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78
2018-01-04,21 - 22,30.49,30.27,30.27,30.27,30.27,30.27,37.09,37.09,30.27,30.27,30.27,30.27,30.27,30.27,30.27,30.27,30.27
2018-01-04,22 - 23,29.72,29.63,29.63,29.63,29.63,29.63,32.49,32.49,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63,29.63
2018-01-04,23 - 00,28.07,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05
2018-01-05,00 - 01,27.88,27.38,27.38,27.38,27.38,27.38,5.96,27.38,28.14,28.14,28.14,27.38,27.38,27.38,27.38,27.38,27.38
2018-01-05,01 - 02,26.91,26.93,26.93,26.93,26.93,26.93,-0.94,26.93,27.51,27.51,27.51,26.93,26.93,26.93,26.93,26.93,26.93
2018-01-05,02 - 03,26.44,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
2018-01-05,03 - 04,26.45,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
2018-01-05,04 - 05,26.83,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88,26.88
2018-01-05,05 - 06,27.63,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66
2018-01-05,06 - 07,28.62,28.65,28.65,28.65,28.65,28.65,24.98,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65
2018-01-05,07 - 08,30.45,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44
2018-01-05,08 - 09,32.91,32.53,32.53,32.53,32.96,32.53,36.2,36.2,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.96,32.96
2018-01-05,09 - 10,34.01,33.52,33.52,33.52,35.43,33.52,36.3,36.3,33.52,33.52,33.52,33.52,33.52,33.52,33.52,35.43,35.43
2018-01-05,10 - 11,34.79,33.31,33.31,33.31,37.59,33.31,38.95,38.95,33.31,33.31,33.31,33.31,33.31,33.31,33.31,37.59,37.59
2018-01-05,11 - 12,34.31,32.98,32.98,32.98,37.55,32.98,39.4,39.4,32.98,32.98,32.98,32.98,32.98,32.98,32.98,37.55,37.55
2018-01-05,12 - 13,33.91,32.88,32.88,32.88,37.55,32.88,41.69,41.69,32.88,32.88,32.88,32.88,32.88,32.88,32.88,37.55,37.55
2018-01-05,13 - 14,34.23,32.84,32.84,32.84,37.52,32.84,42.41,42.41,32.84,32.84,32.84,32.84,32.84,32.84,32.84,37.52,37.52
2018-01-05,14 - 15,33.91,32.87,32.87,32.87,32.94,32.87,42.38,42.38,32.87,32.87,32.87,32.87,32.87,32.87,32.87,32.94,32.94
2018-01-05,15 - 16,35.11,33.5,33.5,33.5,37.51,33.5,47.1,47.1,33.5,33.5,33.5,33.5,33.5,33.5,33.5,37.51,37.51
2018-01-05,16 - 17,38.06,35.1,35.1,35.1,37.6,35.1,47.77,47.77,35.1,35.1,35.1,35.1,35.1,35.1,35.1,37.6,37.6
2018-01-05,17 - 18,39.43,37.3,37.3,37.3,37.56,37.3,56.35,56.35,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.56,37.56
2018-01-05,18 - 19,37.57,34.0,34.0,34.0,34.0,34.0,57.42,57.42,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
2018-01-05,19 - 20,33.71,32.25,32.25,32.25,32.25,32.25,53.92,53.92,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
2018-01-05,20 - 21,31.97,31.51,31.51,31.51,31.51,31.51,42.36,42.36,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51
2018-01-05,21 - 22,31.64,31.25,31.25,31.25,31.25,31.25,39.9,39.9,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
2018-01-05,22 - 23,30.61,30.44,30.44,30.44,30.44,30.44,35.98,35.98,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44
2018-01-05,23 - 00,29.66,29.64,29.64,29.64,29.64,29.64,35.24,35.24,29.64,29.64,29.64,29.64,29.64,29.64,29.64,29.64,29.64
2018-01-06,00 - 01,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45,29.45
2018-01-06,01 - 02,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55
2018-01-06,02 - 03,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18
2018-01-06,03 - 04,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
2018-01-06,04 - 05,28.15,28.15,28.15,28.15,28.15,28.15,27.08,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15
2018-01-06,05 - 06,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
2018-01-06,06 - 07,29.49,29.48,29.48,29.48,29.48,29.48,30.0,30.0,29.48,29.48,29.48,29.48,29.48,29.48,29.48,29.48,29.48
2018-01-06,07 - 08,30.37,30.35,30.35,30.35,30.35,30.35,31.36,31.36,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35
2018-01-06,08 - 09,30.49,30.38,30.38,30.38,30.38,30.38,34.19,34.19,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38
2018-01-06,09 - 10,31.38,30.9,30.9,30.9,30.9,30.9,41.11,41.11,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
2018-01-06,10 - 11,32.94,31.89,31.89,31.89,31.89,31.89,43.16,43.16,31.89,31.89,31.89,31.89,31.89,31.89,31.89,31.89,31.89
2018-01-06,11 - 12,34.23,32.86,32.86,32.86,32.86,32.86,43.17,43.17,32.86,32.86,32.86,32.86,32.86,32.86,32.86,32.86,32.86
2018-01-06,12 - 13,33.34,32.17,32.17,32.17,32.17,32.17,43.14,43.14,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17,32.17
2018-01-06,13 - 14,32.55,31.79,31.79,31.79,31.79,31.79,39.96,39.96,31.79,31.79,31.79,31.79,31.79,31.79,31.79,31.79,31.79
2018-01-06,14 - 15,32.42,31.77,31.77,31.77,31.77,31.77,36.04,36.04,31.77,31.77,31.77,31.77,31.77,31.77,31.77,31.77,31.77
2018-01-06,15 - 16,33.93,33.05,33.05,33.05,33.05,33.05,34.91,34.91,33.05,33.05,33.05,33.05,33.05,33.05,33.05,33.05,33.05
2018-01-06,16 - 17,36.83,36.47,36.47,36.47,39.54,36.47,40.52,40.52,36.47,36.47,36.47,36.47,36.47,34.78,36.47,39.54,39.54
2018-01-06,17 - 18,39.03,36.53,36.53,36.53,41.39,36.53,43.91,43.91,36.53,36.53,36.53,36.53,36.53,34.99,36.53,41.39,41.39
2018-01-06,18 - 19,35.84,34.45,34.45,34.45,34.45,34.45,43.87,43.87,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45
2018-01-06,19 - 20,32.41,31.93,31.93,31.93,31.93,31.93,35.09,35.09,31.93,31.93,31.93,31.93,31.93,31.93,31.93,31.93,31.93
2018-01-06,20 - 21,31.07,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06,31.06
2018-01-06,21 - 22,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72,30.72
2018-01-06,22 - 23,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98,29.98
2018-01-06,23 - 00,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03
2018-01-07,00 - 01,27.89,27.58,27.58,27.58,27.58,27.58,21.87,27.58,28.1,28.1,28.1,27.58,27.58,27.58,27.58,27.58,27.58
2018-01-07,01 - 02,27.2,25.9,25.9,25.9,25.9,25.9,15.98,25.9,27.71,27.71,27.71,25.9,25.9,25.9,25.9,25.9,25.9
2018-01-07,02 - 03,26.62,25.89,25.89,25.89,25.89,25.89,15.99,25.89,27.38,27.38,27.38,25.89,25.89,25.89,25.89,25.89,25.89
2018-01-07,03 - 04,26.59,26.16,26.16,26.16,26.16,26.16,26.16,26.16,26.86,26.86,26.86,26.16,26.16,26.16,26.16,26.16,26.16
2018-01-07,04 - 05,26.57,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
2018-01-07,05 - 06,27.13,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14
2018-01-07,06 - 07,27.41,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43,27.43
2018-01-07,07 - 08,27.68,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69
2018-01-07,08 - 09,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93
2018-01-07,09 - 10,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33
2018-01-07,10 - 11,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79,28.79
2018-01-07,11 - 12,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95
2018-01-07,12 - 13,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96
2018-01-07,13 - 14,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27
2018-01-07,14 - 15,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29
2018-01-07,15 - 16,28.61,28.62,28.62,28.62,28.62,28.62,26.75,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.62
2018-01-07,16 - 17,29.33,29.38,29.38,29.38,29.38,29.38,27.21,29.38,29.38,29.38,29.38,29.38,29.38,29.38,29.38,29.38,29.38
2018-01-07,17 - 18,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88,30.88
2018-01-07,18 - 19,31.54,31.51,31.51,31.51,31.51,31.51,34.34,34.34,31.51,31.51,31.51,31.51,31.51,30.49,31.51,31.51,31.51
2018-01-07,19 - 20,31.12,31.12,31.12,31.12,31.12,31.12,32.33,32.33,31.12,31.12,31.12,31.12,31.12,30.4,31.12,31.12,31.12
2018-01-07,20 - 21,29.97,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96,29.96
2018-01-07,21 - 22,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94
2018-01-07,22 - 23,28.94,28.9,28.9,28.9,28.9,28.9,29.69,29.13,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9
2018-01-07,23 - 00,27.75,27.57,27.57,27.57,27.57,27.57,27.01,27.57,27.8,27.8,27.8,27.57,27.57,27.57,27.57,27.57,27.57
2018-01-08,00 - 01,26.47,25.03,25.03,25.03,25.03,25.03,18.91,25.03,27.38,27.38,27.38,25.87,25.87,25.87,25.03,25.03,25.03
2018-01-08,01 - 02,25.41,23.96,23.96,23.96,23.96,23.96,15.15,23.96,26.25,26.25,26.25,25.21,25.21,25.21,23.96,23.96,23.96
